spec_cd,item_cd_2014,desc_2014,unit,spec_cd_2024,item_cd_2024,desc_2024,confidence,notes
0100,6001,PREPARING ROW,AC,0100,7001,PREPARING ROW,High,Exact match in all three columns other than ITEM_CD
0100,6002,PREPARING ROW,STA,0100,7002,PREPARING ROW,High,Exact match in all three columns other than ITEM_CD
0100,6003,"PREPARING ROW(TREE)(5"" TO 12"" DIA)",EA,,,,,
0100,6004,"PREPARING ROW(TREE)(12"" TO 24"" DIA)",EA,,,,,
0100,6005,"PREP ROW (TREE)(24""-30""DIA)",EA,,,,,
0100,6006,"PREP ROW (TREE)(LESS THAN 24"" DIA)",EA,,,,,
0100,6007,"PREP ROW (TREE)(GREATER THAN 24"" DIA)",EA,,,,,
0100,6008,"PREPARING ROW (TREE) (0"" TO 6"" DIA)",EA,,,,,
0100,6009,"PREPARING ROW (TREE) (6"" TO 24"" DIA)",EA,,,,,
0100,6010,"PREPARING ROW (TREE)(10"" TO 48"" DIA)",EA,,,,,
0100,6011,"PREPARING ROW(TREE)(24"" TO 36"" DIA.)",EA,,,,,
0100,6012,"PREP ROW (TREE) (18""-36"" DIA.)",EA,,,,,
0100,6013,"PREP ROW (TREE) (2"" TO 12"" DIA)",EA,,,,,
0100,6014,"PREPARING ROW (TREE)(20"" TO 42"" DIA)",EA,,,,,
0100,6015,PREPARING ROW (HAND CLEARING),AC,,,,,
0100,6016,"PREPARING ROW (TREE) (36"" TO 48"" DIA)",EA,,,,,
0100,6017,PREP ROW (TREE)(GREATER THAN 8 IN DIA),EA,,,,,
0100,6018,PREPARING ROW(OPT1),STA,,,,,
0100,6019,PREPARING ROW(OPT2),STA,,,,,
0100,6020,PREPARING ROW (DENSITY A),STA,,,,,
0100,6021,PREPARING ROW (DENSITY B),STA,,,,,
0100,6022,PREPARING ROW (DENSITY C),STA,,,,,
0100,6023,PREPARING ROW 1X,STA,,,,,
0100,6024,PREPARING ROW 2X,STA,,,,,
0100,6025,PREPARING ROW 4X,STA,,,,,
0100,6026,PREPARING ROW 6X,STA,,,,,
0100,6027,PREPARING ROW STA 5X,STA,,,,,
0100,6028,PREP ROW (TREE PRUNING),EA,,,,,
0100,6029,"PREP ROW (ROOT PRUNING TO 12"" DEPTH)",LF,,,,,
0103,6001,DISPOSAL OF WATER WELLS,EA,,,,,
0103,6002,DISPOSAL OF PETROLEUM OR SULFUR WELLS,EA,,,,,
0104,6001,REMOVING CONC (PAV),SY,,,,,
0104,6002,REMOVING CONC (PAV),CY,,,,,
0104,6003,REMOVING CONC (FLOORS),SY,,,,,
0104,6004,REMOVING CONC (FLOORS),CY,,,,,
0104,6009,REMOVING CONC (RIPRAP),SY,,,,,
0104,6011,REMOVING CONC (MEDIANS),SY,,,,,
0104,6015,REMOVING CONC (SIDEWALKS),SY,,,,,
0104,6017,REMOVING CONC (DRIVEWAYS),SY,,,,,
0104,6021,REMOVING CONC (CURB),LF,,,,,
0104,6022,REMOVING CONC (CURB AND GUTTER),LF,,,,,
0104,6025,REMOVE CONC (WINGWALL),CY,,,,,
0104,6027,REMOVING CONC (APPR SLAB),SY,,,,,
0104,6032,REMOVING CONC (WHEELCHAIR RAMP),SY,,,,,
0104,6036,REMOVING CONC (SIDEWALK OR RAMP),SY,,,,,
0104,6037,REMOVE CONC (RAIL),LF,,,,,
0105,6001,"REMOVING STAB BASE AND ASPH PAV (2"")",STA,,,,,
0105,6002,"REMOVING STAB BASE AND ASPH PAV (2"")",SY,,,,,
0105,6003,"REMOVING STAB BASE AND ASPH PAV (2"")",CY,,,,,
0105,6004,"REMOVING STAB BASE AND ASPH PAV (3"")",STA,,,,,
0105,6005,"REMOVING STAB BASE AND ASPH PAV (3"")",SY,,,,,
0105,6006,"REMOVING STAB BASE AND ASPH PAV (3"")",CY,,,,,
0105,6014,"REMOVING STAB BASE & ASPH PAV (7""-12"")",SY,,,,,
0105,6031,"REMOVING STAB BASE AND ASPH PAV (12"")",STA,,,,,
0105,6037,"REMOVING STAB BASE AND ASPH PAV(0""-16"")",SY,0105,7129,"REMOVING STAB BASE AND ASPH PAV(0""-16"")",High,Exact match in all three columns other than ITEM_CD
0247,6001,FL BS (CMP IN PLACE)(TYA GR1-2)(IN VEH),CY,0247,7136,FL BS (CMP IN PLACE)(TYA GR1-2)(IN VEH),High,Exact match in all three columns other than ITEM_CD
0247,6003,FL BS (CMP IN PLACE)(TY A GR 3)(IN VEH),CY,0247,7137,FL BS (CMP IN PLACE)(TY A GR 3)(IN VEH),High,Exact match in all three columns other than ITEM_CD
0247,6005,FL BS (CMP IN PLACE)(TYB GR1-2)(IN VEH),CY,0247,7140,FL BS (CMP IN PLACE)(TYB GR1-2)(IN VEH),High,Exact match in all three columns other than ITEM_CD
0247,6007,FL BS (CMP IN PLACE)(TY B GR 3)(IN VEH),CY,0247,7141,FL BS (CMP IN PLACE)(TY B GR 3)(IN VEH),High,Exact match in all three columns other than ITEM_CD
0247,6081,FL BS (CMP IN PLC)(TY A GR 1-2),TON,0247,7001,FL BS (CMP IN PLC)(TY A GR 1-2),High,Exact match in all three columns other than ITEM_CD
0247,6083,FL BS (CMP IN PLC)(TY A GR 3),TON,0247,7002,FL BS (CMP IN PLC)(TY A GR 3),High,Exact match in all three columns other than ITEM_CD
0247,6084,FL BS (CMP IN PLC)(TY A GR 4),TON,0247,7003,FL BS (CMP IN PLC)(TY A GR 4),High,Exact match in all three columns other than ITEM_CD
0247,6085,FL BS (CMP IN PLC)(TY B GR 1-2),TON,0247,7005,FL BS (CMP IN PLC)(TY B GR 1-2),High,Exact match in all three columns other than ITEM_CD
0247,6087,FL BS (CMP IN PLC)(TY B GR 3),TON,0247,7006,FL BS (CMP IN PLC)(TY B GR 3),High,Exact match in all three columns other than ITEM_CD
